text,intent
hi,greeting
hello,greeting
hey,greeting
good morning,greeting
good evening,greeting
what is your name,ask_name
who are you,ask_name
tell me your name,ask_name
what can you do,ask_ability
what are your abilities,ask_ability
how can you help me,ask_ability
bye,goodbye
goodbye,goodbye
see you,goodbye
thank you,gratitude
thanks,gratitude
thank u so much,gratitude
open youtube,open_website
open google,open_website
open facebook,open_website
search weather in delhi,search_query
weather in delhi,search_query
latest trends in data,search_query
search python tutorial,search_query
today's news,news
today news,news
news,news
latest news,news
show me news,news
